bench.id,benchnum,origin,mset,size,n.anom,n.norm,anomaly.rate.level,point.difficulty.level,clustering.algo,irrelevance.level,anomaly.rate,diff.mean,anom.diff.mean,norm.diff.mean,clusteredness.score,irrelevance.score,auc.ci.0.999,ap.ci.0.999
comm.and.crime_benchmark_0001,1,regression,comm.and.crime,902,440,462,ar-0,pd-0,none,ir-0,0.48780487804878,0.140871464652491,0.138061490528216,0.143547630485134,-0.312933948084755,0,0.54263085399449,0.546678165122683
comm.and.crime_benchmark_0002,2,regression,comm.and.crime,902,436,466,ar-0,pd-0,none,ir-0,0.483370288248337,0.1362643613932,0.126299805338371,0.14558742242304,-0.271951882255517,0,0.542564087293775,0.542990685106132
comm.and.crime_benchmark_0003,3,regression,comm.and.crime,902,480,422,ar-0,pd-0,none,ir-0,0.532150776053215,0.141913612142642,0.135636308037185,0.149053673684394,-0.274235262766046,0,0.540590442338073,0.58965859007893
comm.and.crime_benchmark_0004,4,regression,comm.and.crime,902,445,457,ar-0,pd-0,none,ir-0,0.493348115299335,0.135724641750167,0.130533406870648,0.140779564116437,-0.289747548547055,0,0.542438472696875,0.552307964410592
comm.and.crime_benchmark_0005,5,regression,comm.and.crime,902,445,457,ar-0,pd-0,none,ir-0,0.493348115299335,0.14078986981304,0.13089814002757,0.15042186052318,-0.222660138741603,0,0.542438472696875,0.552307964410592
comm.and.crime_benchmark_0006,6,regression,comm.and.crime,902,463,439,ar-0,pd-0,none,ir-1,0.51330376940133,0.130714665806811,0.119649305686485,0.142384965888157,-0.268439862380291,0.360480928528379,0.541634482453249,0.571978899941235
comm.and.crime_benchmark_0007,7,regression,comm.and.crime,902,434,468,ar-0,pd-0,none,ir-1,0.481152993348115,0.132154821458351,0.119599810989335,0.143797715782181,-0.249991780380965,0.358128917562466,0.542872907558392,0.540547219075529
comm.and.crime_benchmark_0008,8,regression,comm.and.crime,902,462,440,ar-0,pd-0,none,ir-1,0.51219512195122,0.138624086121397,0.131697002003662,0.14589752444502,-0.318401877604561,0.345999055823421,0.541376426603699,0.570454280924981
comm.and.crime_benchmark_0009,9,regression,comm.and.crime,902,448,454,ar-0,pd-0,none,ir-1,0.496674057649667,0.143409330216852,0.132601181087761,0.154074640370668,-0.269126450751787,0.365975892616769,0.542204216488357,0.555618460736715
comm.and.crime_benchmark_0010,10,regression,comm.and.crime,902,459,443,ar-0,pd-0,none,ir-1,0.508869179600887,0.14284495036358,0.139873898531618,0.145923308807982,-0.329747553381106,0.368190398039614,0.541514830060442,0.567455045597859
comm.and.crime_benchmark_0011,11,regression,comm.and.crime,902,424,478,ar-0,pd-0,none,ir-2,0.470066518847007,0.131782043560969,0.129769334040341,0.133567375855418,-0.371890009592587,0.813505729032017,0.543577800584195,0.52930438530759
