bench.id,benchnum,origin,mset,size,n.anom,n.norm,anomaly.rate.level,point.difficulty.level,clustering.algo,irrelevance.level,anomaly.rate,diff.mean,anom.diff.mean,norm.diff.mean,clusteredness.score,irrelevance.score,auc.ci.0.999,ap.ci.0.999
fault_benchmark_0001,1,multiclass,fault,1143,429,714,ar-0,pd-0,none,ir-0,0.375328083989501,0.0708721453045441,4.4149794666207e-33,0.113454988911896,0.0696245284565358,0,0.542953778247896,0.428880028315508
fault_benchmark_0002,2,multiclass,fault,1143,430,713,ar-0,pd-0,none,ir-0,0.376202974628171,0.065621785406481,6.1261646863888e-33,0.105197336212634,-0.00236887001171273,0,0.54302162497146,0.429473706204989
fault_benchmark_0003,3,multiclass,fault,1143,398,745,ar-0,pd-0,none,ir-0,0.348206474190726,0.0686524656889585,1.8674415227418e-33,0.105328548030174,0.0595264328378507,0,0.544888877272268,0.401541045646512
fault_benchmark_0004,4,multiclass,fault,1143,376,767,ar-0,pd-0,none,ir-0,0.328958880139982,0.0660926156882832,5.02833856818733e-33,0.0984926463255641,0.268640011030287,0,0.546131654137424,0.381971387587599
fault_benchmark_0005,5,multiclass,fault,1143,381,762,ar-0,pd-0,none,ir-0,0.333333333333333,0.0774672097041172,1.95071344520137e-33,0.116200814556176,0.266396675242964,0,0.545718202547516,0.386674925977971
fault_benchmark_0006,6,multiclass,fault,1143,410,733,ar-0,pd-0,none,ir-1,0.358705161854768,0.07746077617365,6.42487884012049e-33,0.120788086175282,0.0829600886739194,0.389755330980213,0.54407546667554,0.41220129727899
fault_benchmark_0007,7,multiclass,fault,1143,389,754,ar-0,pd-0,none,ir-1,0.340332458442695,0.0730384648713988,6.76698872159317e-33,0.110720113193646,0.201519589373646,0.298380422831209,0.545369007112027,0.393722828092956
fault_benchmark_0008,8,multiclass,fault,1143,406,737,ar-0,pd-0,none,ir-1,0.355205599300087,0.0766221102315583,4.66514741764932e-33,0.118831848025334,0.259477357557493,0.356848572867668,0.544271477364632,0.408506346150586
fault_benchmark_0009,9,multiclass,fault,1143,424,719,ar-0,pd-0,none,ir-1,0.37095363079615,0.0749535804522616,6.21638910163639e-33,0.119154301052761,0.262155978546532,0.311773222645625,0.543371309733121,0.424492362698946
fault_benchmark_0010,10,multiclass,fault,1143,380,763,ar-0,pd-0,none,ir-1,0.332458442694663,0.0704007617630182,4.98461394935423e-33,0.105462740098466,0.267894022693281,0.312776928277981,0.545743953921501,0.385669308173768
fault_benchmark_0011,11,multiclass,fault,1143,409,734,ar-0,pd-0,none,ir-2,0.357830271216098,0.069414404983803,4.62746784544328e-33,0.108093548905295,0.25504979088869,0.815454339742804,0.543943172354983,0.411079849007312
fault_benchmark_0012,12,multiclass,fault,1143,370,773,ar-0,pd-0,none,ir-2,0.323709536307962,0.067465520735686,2.00452286257088e-33,0.0997582020710079,0.014833212737966,0.82349426858561,0.546337544141813,0.377026202957329
fault_benchmark_0013,13,multiclass,fault,1143,397,746,ar-0,pd-0,none,ir-2,0.347331583552056,0.0739537414224715,6.63028660352795e-33,0.113309820973036,0.0367988829094544,0.828563593716092,0.54474578440178,0.400573395358641
fault_benchmark_0014,14,multiclass,fault,1143,391,752,ar-0,pd-0,none,ir-2,0.342082239720035,0.0763299179872356,4.19335318509243e-36,0.116017415238577,0.0588066072810797,0.85317836511689,0.545161751101921,0.395396285684295
fault_benchmark_0015,15,multiclass,fault,1143,396,747,ar-0,pd-0,none,ir-2,0.346456692913386,0.0786781975071054,4.77904513877137e-33,0.120387121486776,0.0220756493713921,0.841617462730194,0.544991413465309,0.399864159743258
fault_benchmark_0016,16,multiclass,fault,1143,418,725,ar-0,pd-0,none,ir-3,0.365704286964129,0.0737049544890847,6.30553880006943e-33,0.116199673077274,0.268506920196223,1.35734674702544,0.543507688500248,0.418906736042617
fault_benchmark_0017,17,multiclass,fault,1143,406,737,ar-0,pd-0,none,ir-3,0.355205599300087,0.070787579754196,8.93208805603704e-36,0.109783179998706,0.269612977913176,1.34334974984923,0.544271477364632,0.408506346150586
fault_benchmark_0018,18,multiclass,fault,1143,364,779,ar-0,pd-0,none,ir-3,0.31846019247594,0.0669674626679885,2.04215526299457e-33,0.098259062682299,0.29631008220072,1.32037415146184,0.546717406790899,0.371486699809424
fault_benchmark_0019,19,multiclass,fault,1143,413,730,ar-0,pd-0,none,ir-3,0.361329833770779,0.0642262812755163,6.3819415305348e-33,0.100562519860158,0.288480179027168,1.31107607621283,0.543901960264022,0.414461882104488
fault_benchmark_0020,20,multiclass,fault,1143,415,728,ar-0,pd-0,none,ir-3,0.363079615048119,0.0738539515387105,1.79931788943336e-33,0.115954761825201,0.294920944992447,1.34345619807284,0.543774000397193,0.416697470553504
fault_benchmark_0021,21,multiclass,fault,1143,409,734,ar-0,pd-0,scatter,ir-0,0.357830271216098,0.0771992911107195,4.63115111819533e-33,0.12021633479503,-0.00525577900646266,0,0.543943172354983,0.411079849007312
fault_benchmark_0022,22,multiclass,fault,1143,375,768,ar-0,pd-0,scatter,ir-0,0.328083989501312,0.0658956024856115,9.35694236595638e-36,0.0980711896367889,-0.00956265985558267,0,0.545763888888889,0.381280827190772
fault_benchmark_0023,23,multiclass,fault,1143,395,748,ar-0,pd-0,scatter,ir-0,0.345581802274716,0.069044999267404,1.89008880880572e-33,0.105505928024923,-0.0132681647726933,0,0.545024717389833,0.399078170324663
